Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/news-ai/feed/opportunity-radar,HTTPError('404 Client Error: Not Found for url: /api/news-ai/feed/opportunity-radar'),4,2026-06-03T22:10:02Z,2026-06-03T22:10:33Z
GET,/api/news-ai/feed/<stream>,HTTPError('404 Client Error: Not Found for url: /api/news-ai/feed/<stream>'),13,2026-06-03T22:10:01Z,2026-06-03T22:10:33Z
GET,/api/news-ai/feed/ai-impact-score,HTTPError('404 Client Error: Not Found for url: /api/news-ai/feed/ai-impact-score'),6,2026-06-03T22:10:01Z,2026-06-03T22:10:33Z
