Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/news-ai/feed/<stream>,30,30,27000,28709.300560000698,1924.2599999997765,54793.48449999816,154.0,0.5265701704771446,0.5265701704771446,29000,38000,43000,48000,52000,53000,55000,55000,55000,55000,55000
GET,/api/news-ai/feed/ai-impact-score,5,5,20000,28538.8569799994,14771.028700000898,48127.88089999958,154.0,0.0877616950795241,0.0877616950795241,20000,44000,44000,48000,48000,48000,48000,48000,48000,48000,48000
GET,/api/news-ai/feed/opportunity-radar,5,5,43000,36886.65052000142,10563.800600000832,54919.957500002056,154.0,0.0877616950795241,0.0877616950795241,43000,54000,54000,55000,55000,55000,55000,55000,55000,55000,55000
GET,/api/news/feed,23,0,29000,28384.59403478349,4212.772999999288,53862.47560000629,50483.13043478261,0.40370379736581086,0.0,29000,35000,43000,44000,47000,51000,54000,54000,54000,54000,54000
GET,/health,6,0,39000,36944.47088333254,11985.812799997802,50177.37649999617,12.0,0.10531403409542892,0.0,42000,42000,43000,43000,50000,50000,50000,50000,50000,50000,50000
,Aggregated,69,40,31000,29897.377426087554,1924.2599999997765,54919.957500002056,16918.028985507248,1.2111113920974326,0.7020935606361928,31000,39000,43000,47000,51000,54000,55000,55000,55000,55000,55000
