Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/news-ai/feed/<stream>,1485,0,620,704.8352993939063,478.6972000001697,2764.1636000043945,4754.1535353535355,25.881677850744587,0.0,620,680,720,770,980,1200,1700,1900,2600,2800,2800
GET,/api/news-ai/feed/ai-impact-score,395,0,600,649.0314253162529,493.2413999995333,2428.322100000514,752.0354430379747,6.884352020905126,0.0,600,640,680,700,790,1000,1100,1400,2400,2400,2400
GET,/api/news-ai/feed/opportunity-radar,351,0,630,696.3509649572798,501.91710000217427,2484.652699997241,1018.6837606837607,6.117487491994175,0.0,630,680,720,740,890,1100,1300,1800,2500,2500,2500
GET,/api/news/feed,1470,1470,600,647.6769709523907,467.70619999733754,2447.462700001779,154.0,25.62024676134313,25.62024676134313,600,630,660,680,770,1000,1200,1600,2400,2400,2400
GET,/health,375,0,600,632.3456906668338,463.1779000046663,2274.9550999942585,181.0,6.535777235036512,0.0,600,630,650,680,750,890,1100,1100,2300,2300,2300
,Aggregated,4076,1470,610,671.4135923944947,463.1779000046663,2764.1636000043945,1964.8638370951915,71.03954136002353,25.62024676134313,610,650,680,710,870,1100,1400,1700,2500,2800,2800
